Day;Program;ProgramName;ID;Consent;Priority;Physics;Rus;Math;Indiv;Sum
2025-08-03;IVT;???;101627;0;2;98;100;100;9;307
2025-08-03;IVT;???;101724;0;1;96;100;100;9;305
2025-08-03;IVT;???;101412;1;1;100;100;99;5;304
2025-08-03;IVT;???;101429;1;1;100;100;100;4;304
2025-08-03;IVT;???;101500;1;2;100;100;100;4;304
2025-08-03;IVT;???;101413;1;2;100;100;100;2;302
2025-08-03;IVT;???;101050;0;2;98;100;100;3;301
2025-08-03;IVT;???;101269;1;2;100;100;100;0;300
2025-08-03;IVT;???;101274;0;2;100;100;95;5;300
2025-08-03;IVT;???;101330;0;2;100;100;100;0;300
2025-08-03;IVT;???;101733;1;3;100;91;100;8;299
2025-08-03;IVT;???;100788;1;2;89;100;100;9;298
2025-08-03;IVT;???;100794;1;3;89;100;100;9;298
2025-08-03;IVT;???;101403;1;3;99;97;100;2;298
2025-08-03;IVT;???;101673;1;2;98;93;100;7;298
2025-08-03;IVT;???;101989;0;2;97;100;99;2;298
2025-08-03;IVT;???;101257;1;3;100;91;100;4;295
2025-08-03;IVT;???;101393;0;1;87;100;100;8;295
2025-08-03;IVT;???;101450;0;2;100;100;91;4;295
2025-08-03;IVT;???;101383;1;4;98;100;94;2;294
2025-08-03;IVT;???;101428;0;2;92;100;95;7;294
2025-08-03;IVT;???;101529;1;2;97;92;100;4;293
2025-08-03;IVT;???;100819;0;3;97;94;100;1;292
2025-08-03;IVT;???;100873;1;3;100;89;95;8;292
2025-08-03;IVT;???;101448;1;3;92;98;100;2;292
2025-08-03;IVT;???;102004;1;2;95;100;92;5;292
2025-08-03;IVT;???;102181;1;1;84;100;100;8;292
2025-08-03;IVT;???;102193;0;2;100;85;98;9;292
2025-08-03;IVT;???;102225;1;3;100;84;100;8;292
2025-08-03;IVT;???;100875;1;2;95;94;97;5;291
2025-08-03;IVT;???;101083;0;3;98;95;91;7;291
2025-08-03;IVT;???;101363;1;1;88;98;100;5;291
2025-08-03;IVT;???;102054;0;2;100;81;100;10;291
2025-08-03;IVT;???;100973;1;2;100;95;92;3;290
2025-08-03;IVT;???;101321;1;1;100;97;92;1;290
2025-08-03;IVT;???;101781;1;1;100;86;100;4;290
2025-08-03;IVT;???;101810;1;2;86;100;99;5;290
2025-08-03;IVT;???;102022;0;2;100;90;100;0;290
2025-08-03;IVT;???;102103;0;3;100;96;94;0;290
2025-08-03;IVT;???;101066;1;2;87;100;100;2;289
2025-08-03;IVT;???;101219;1;2;100;80;100;9;289
2025-08-03;IVT;???;101640;1;1;98;92;92;7;289
2025-08-03;IVT;???;101717;1;1;90;100;98;1;289
2025-08-03;IVT;???;102152;1;2;100;87;98;4;289
2025-08-03;IVT;???;100878;1;2;84;100;100;4;288
2025-08-03;IVT;???;100969;1;3;100;96;88;4;288
2025-08-03;IVT;???;100970;1;2;100;85;100;3;288
2025-08-03;IVT;???;101026;1;3;93;95;100;0;288
2025-08-03;IVT;???;101332;0;3;100;88;95;5;288
2025-08-03;IVT;???;101375;1;2;93;100;89;6;288
2025-08-03;IVT;???;100768;0;3;95;99;89;4;287
2025-08-03;IVT;???;101171;0;1;100;80;99;8;287
2025-08-03;IVT;???;101205;1;1;100;100;81;6;287
2025-08-03;IVT;???;101364;0;2;96;100;87;4;287
2025-08-03;IVT;???;101366;1;1;98;97;82;10;287
2025-08-03;IVT;???;100813;1;3;100;100;76;10;286
2025-08-03;IVT;???;100951;1;2;100;91;94;1;286
2025-08-03;IVT;???;101808;0;2;81;98;100;7;286
2025-08-03;IVT;???;102165;0;3;100;84;100;2;286
2025-08-03;IVT;???;101030;1;3;85;92;100;8;285
2025-08-03;IVT;???;101040;0;3;91;100;85;9;285
2025-08-03;IVT;???;100912;1;2;90;95;94;5;284
2025-08-03;IVT;???;101628;1;3;100;82;100;2;284
2025-08-03;IVT;???;101766;1;1;97;89;94;4;284
2025-08-03;IVT;???;101170;1;2;100;91;85;7;283
2025-08-03;IVT;???;101751;0;4;77;100;100;6;283
2025-08-03;IVT;???;100886;1;2;98;81;100;3;282
2025-08-03;IVT;???;100892;1;4;94;82;100;6;282
2025-08-03;IVT;???;101027;1;1;83;96;100;3;282
2025-08-03;IVT;???;101254;0;4;94;79;100;9;282
2025-08-03;IVT;???;101300;1;2;100;73;100;9;282
2025-08-03;IVT;???;101800;0;2;78;100;97;7;282
2025-08-03;IVT;???;102047;1;1;100;100;80;2;282
2025-08-03;IVT;???;100777;1;3;78;100;100;3;281
2025-08-03;IVT;???;100853;1;4;86;92;99;4;281
2025-08-03;IVT;???;100993;0;2;84;91;100;6;281
2025-08-03;IVT;???;101310;1;1;90;100;82;9;281
2025-08-03;IVT;???;101335;0;2;100;91;83;7;281
2025-08-03;IVT;???;101386;1;2;87;84;100;10;281
2025-08-03;IVT;???;101653;1;1;77;100;100;4;281
2025-08-03;IVT;???;102188;0;2;85;88;100;8;281
2025-08-03;IVT;???;100887;0;2;91;80;100;9;280
2025-08-03;IVT;???;100901;1;1;93;87;95;5;280
2025-08-03;IVT;???;100953;1;3;84;100;94;2;280
2025-08-03;IVT;???;100971;1;2;84;100;93;3;280
2025-08-03;IVT;???;100977;1;3;99;79;100;2;280
2025-08-03;IVT;???;101206;1;2;97;94;89;0;280
2025-08-03;IVT;???;101431;1;1;82;92;100;6;280
2025-08-03;IVT;???;102161;1;2;89;94;92;5;280
2025-08-03;IVT;???;101162;0;1;100;96;81;2;279
2025-08-03;IVT;???;101344;1;4;96;99;83;1;279
2025-08-03;IVT;???;101390;0;2;81;92;100;6;279
2025-08-03;IVT;???;100850;1;2;92;92;85;9;278
2025-08-03;IVT;???;101074;1;3;77;100;100;1;278
2025-08-03;IVT;???;101100;0;3;92;87;91;8;278
2025-08-03;IVT;???;101379;1;1;100;86;83;9;278
2025-08-03;IVT;???;101683;0;3;100;90;87;1;278
2025-08-03;IVT;???;101707;1;2;92;100;79;7;278
2025-08-03;IVT;???;102134;0;2;89;88;95;6;278
2025-08-03;IVT;???;102168;1;1;100;97;80;1;278
2025-08-03;IVT;???;100797;0;3;99;77;91;10;277
2025-08-03;IVT;???;100959;1;2;74;100;98;5;277
2025-08-03;IVT;???;101053;1;2;100;72;100;5;277
2025-08-03;IVT;???;101293;0;2;100;70;100;7;277
2025-08-03;IVT;???;101308;1;2;90;86;99;2;277
2025-08-03;IVT;???;101312;1;1;100;96;77;4;277
2025-08-03;IVT;???;101433;1;1;76;100;100;1;277
2025-08-03;IVT;???;101526;1;2;100;69;100;8;277
2025-08-03;IVT;???;101787;0;1;98;100;75;4;277
2025-08-03;IVT;???;101821;0;2;100;85;86;6;277
2025-08-03;IVT;???;102202;0;2;100;100;67;10;277
2025-08-03;IVT;???;100752;1;2;90;81;95;10;276
2025-08-03;IVT;???;100767;1;1;69;98;100;9;276
2025-08-03;IVT;???;100900;1;2;89;100;79;8;276
2025-08-03;IVT;???;101189;0;1;77;100;92;7;276
2025-08-03;IVT;???;101280;1;2;99;77;100;0;276
2025-08-03;IVT;???;101325;1;1;100;74;100;2;276
2025-08-03;IVT;???;101825;0;2;100;67;100;9;276
2025-08-03;IVT;???;100759;1;2;73;100;97;5;275
2025-08-03;IVT;???;100859;1;2;100;71;100;4;275
2025-08-03;IVT;???;100861;0;2;80;94;100;1;275
2025-08-03;IVT;???;100922;1;3;88;88;95;4;275
2025-08-03;IVT;???;100955;1;2;100;80;91;4;275
2025-08-03;IVT;???;101007;0;2;100;67;100;8;275
