Day;Program;ProgramName;ID;Consent;Priority;Physics;Rus;Math;Indiv;Sum
2025-08-02;PM;??;100513;1;1;96;100;100;5;301
2025-08-02;PM;??;100630;0;4;100;99;95;6;300
2025-08-02;PM;??;100661;1;1;98;92;100;10;300
2025-08-02;PM;??;100521;1;3;96;100;100;1;297
2025-08-02;PM;??;100530;1;1;87;100;99;8;294
2025-08-02;PM;??;100593;1;2;99;89;100;5;293
2025-08-02;PM;??;100390;1;1;84;99;100;9;292
2025-08-02;PM;??;100399;1;4;100;88;97;6;291
2025-08-02;PM;??;100435;1;4;100;87;100;4;291
2025-08-02;PM;??;100594;1;1;88;100;100;3;291
2025-08-02;PM;??;100368;1;4;100;99;84;6;289
2025-08-02;PM;??;100354;0;4;100;83;99;6;288
2025-08-02;PM;??;100483;0;1;85;100;93;10;288
2025-08-02;PM;??;100528;1;1;100;87;96;5;288
2025-08-02;PM;??;100605;1;1;85;100;93;8;286
2025-08-02;PM;??;100443;1;2;97;90;98;0;285
2025-08-02;PM;??;100676;1;1;100;87;93;5;285
2025-08-02;PM;??;100534;1;1;89;100;93;1;283
2025-08-02;PM;??;100635;0;4;98;100;81;0;279
2025-08-02;PM;??;100729;0;4;98;79;98;4;279
2025-08-02;PM;??;100500;1;2;88;80;100;10;278
2025-08-02;PM;??;100617;0;3;100;85;85;8;278
2025-08-02;PM;??;100356;1;1;90;78;100;9;277
2025-08-02;PM;??;100702;0;3;88;92;94;3;277
2025-08-02;PM;??;100367;1;1;77;94;100;4;275
2025-08-02;PM;??;100621;0;4;87;100;78;10;275
2025-08-02;PM;??;100309;1;3;89;99;78;8;274
2025-08-02;PM;??;100321;1;4;77;94;100;3;274
2025-08-02;PM;??;100509;1;4;76;97;94;7;274
2025-08-02;PM;??;100688;1;3;87;87;94;6;274
2025-08-02;PM;??;100411;0;2;71;100;94;7;272
2025-08-02;PM;??;100556;1;1;83;86;100;3;272
2025-08-02;PM;??;100650;1;1;78;88;100;6;272
2025-08-02;PM;??;100351;1;2;94;100;72;5;271
2025-08-02;PM;??;100438;1;1;98;66;98;9;271
2025-08-02;PM;??;100482;0;1;81;100;81;9;271
2025-08-02;PM;??;100627;1;4;99;65;99;8;271
2025-08-02;PM;??;100689;0;1;87;98;82;4;271
2025-08-02;PM;??;100514;1;1;90;85;86;9;270
2025-08-02;PM;??;100695;1;1;98;73;94;5;270
2025-08-02;PM;??;100736;1;4;87;100;82;1;270
2025-08-02;PM;??;100578;1;1;100;100;63;6;269
2025-08-02;PM;??;100603;0;1;97;84;87;1;269
2025-08-02;PM;??;100626;0;3;70;100;98;1;269
