Day;Program;ProgramName;ID;Consent;Priority;Physics;Rus;Math;Indiv;Sum
2025-08-03;ITSS;????;101155;1;4;100;100;100;5;305
2025-08-03;ITSS;????;101412;1;4;100;100;99;5;304
2025-08-03;ITSS;????;101429;1;4;100;100;100;4;304
2025-08-03;ITSS;????;102238;1;4;100;100;97;6;303
2025-08-03;ITSS;????;101413;1;3;100;100;100;2;302
2025-08-03;ITSS;????;101137;1;3;100;100;97;4;301
2025-08-03;ITSS;????;100736;0;3;91;100;100;9;300
2025-08-03;ITSS;????;101269;1;3;100;100;100;0;300
2025-08-03;ITSS;????;101274;0;3;100;100;95;5;300
2025-08-03;ITSS;????;101330;0;4;100;100;100;0;300
2025-08-03;ITSS;????;101551;1;4;96;97;100;6;299
2025-08-03;ITSS;????;100788;1;3;89;100;100;9;298
2025-08-03;ITSS;????;100794;1;2;89;100;100;9;298
2025-08-03;ITSS;????;101403;1;2;99;97;100;2;298
2025-08-03;ITSS;????;101989;0;4;97;100;99;2;298
2025-08-03;ITSS;????;101257;1;4;100;91;100;4;295
2025-08-03;ITSS;????;101393;0;2;87;100;100;8;295
2025-08-03;ITSS;????;101450;0;3;100;100;91;4;295
2025-08-03;ITSS;????;101580;1;4;98;100;97;0;295
2025-08-03;ITSS;????;102306;0;4;100;100;93;2;295
2025-08-03;ITSS;????;101383;1;2;98;100;94;2;294
2025-08-03;ITSS;????;101428;0;3;92;100;95;7;294
2025-08-03;ITSS;????;101547;0;2;98;90;98;8;294
2025-08-03;ITSS;????;100819;0;2;97;94;100;1;292
2025-08-03;ITSS;????;100873;1;4;100;89;95;8;292
2025-08-03;ITSS;????;101448;1;2;92;98;100;2;292
2025-08-03;ITSS;????;102004;1;1;95;100;92;5;292
2025-08-03;ITSS;????;102261;0;4;100;100;90;2;292
2025-08-03;ITSS;????;102273;0;3;95;87;100;10;292
2025-08-03;ITSS;????;100731;1;4;89;97;100;5;291
2025-08-03;ITSS;????;100875;1;4;95;94;97;5;291
2025-08-03;ITSS;????;101363;1;4;88;98;100;5;291
2025-08-03;ITSS;????;102054;0;3;100;81;100;10;291
